filename,pose_bucket,pose_yaw,pose_pitch,pose_roll,quality_overall,quality_sharpness,quality_blur,quality_jpeg_noise,expression_mouth_open_intensity,expression_smile_intensity,mesh_path,geo_cranial_face_index,geo_jaw_width_ratio,geo_canthal_tilt_3d_L,geo_canthal_tilt_3d_R,geo_canthal_tilt_L,geo_canthal_tilt_R,geo_interorbital_ratio,geo_orbit_depth_L_ratio,geo_orbit_depth_R_ratio,geo_gonial_angle_L,geo_gonial_angle_R,geo_mandibular_ramus_length,geo_nose_width_ratio,geo_nose_projection_ratio,geo_nasal_frontal_index,geo_chin_projection_ratio,geo_orbit_centroid_ratio,geo_glabella_nasion_projection_angle,geo_forehead_slope_index,geo_nasofacial_angle_ratio,geo_orbital_perimeter_symmetry,geo_orbital_asymmetry_index,geo_gnathion_midline_deviation_ratio,tex_lbp_uniformity,tex_lbp_entropy,tex_glcm_contrast,tex_glcm_energy,tex_glcm_homogeneity,tex_glcm_correlation,tex_gabor_mean,tex_gabor_std,tex_laplacian_energy,tex_spot_density,tex_specular_gloss,tex_skin_tone_std,tex_pigmentation_index,tex_wrinkle_forehead,tex_nasolabial_depth,tex_crow_feet_score,tex_nose_pore_density,tex_uv_spot_density,tex_uv_wrinkle_energy,tex_uv_texture_entropy,tex_uv_silicone_flatness,tex_uv_retouch_score,tex_quality_sharpness_score,tex_quality_noise_score,tex_quality_quality_index,tex_notes
1998_01_01_y16p-18r1.jpg,frontal,-13.2304,16.6736,-6.4343,0.976,148.6023,148.6023,1.455,0.2002,1.8948,/Volumes/SDCARD/storage/main/1998_01_01_y16p-18r1,0.6597,0.1657,14.6743,4.2455,14.6743,4.2455,0.6825,0.0202,0.0269,57.8717,42.832,0.6017,0.1827,0.3233,-0.3939,0.0571,0.4773,176.7925,1.9644,0.2133,0.7628,0.2372,0.4377,0.112,2.2424,2.868,0.5893,0.8885,0.9821,12.2409,29.3015,0.0136,0.0865,0.026,14.3809,2.0155,0.0099,0.0363,0.0073,1139.8387,0.0655,18.524,1.2431,0.6446,0.1663,661.2022,36.9028,0.8315,[]
1999_01_11_y45p-20r-13.jpg,left_threequarter_mid,-43.2588,16.8322,-2.2917,0.9557,602.8976,602.8976,3.6896,0.0911,1.7414,/Volumes/SDCARD/storage/main/1999_01_11_y45p-20r-13,0.651,0.1672,3.8401,,3.8401,,0.6555,0.056,,56.8564,43.6544,0.6082,0.1784,0.3618,-0.3926,0.0781,0.4884,167.4784,1.8609,0.2355,0.7528,0.2472,0.3822,0.1195,2.2161,3.304,0.5973,0.8173,0.9856,15.2883,27.9249,0.0244,0.0887,0.0291,12.0671,5.3458,,,,,0.086,68.3437,1.2172,0.3989,0.1221,922.1673,31.7755,0.624,[]
1999_08_12_y13p10r-5.jpg,frontal,13.1053,10.1331,-4.9357,0.9521,551.3543,551.3543,3.9876,0.0997,1.6091,/Volumes/SDCARD/storage/main/1999_08_12_y13p10r-5,0.6086,0.1587,6.3492,10.0199,6.3492,10.0199,0.6991,0.0553,0.0514,56.9468,44.224,0.5919,0.1911,0.3477,-0.3664,0.067,0.4884,175.7521,1.9528,0.2116,0.7899,0.2101,0.461,0.1151,2.237,2.3847,0.5491,0.8093,0.9893,13.2917,24.5002,0.0166,0.0883,0.0277,11.9643,5.6073,0.0098,0.0638,0.0066,1540.5105,0.0626,61.7658,1.2282,0.4119,0.1059,661.4238,31.9655,0.8549,[]
1999_08_16_y-46p-27r23.jpg,right_threequarter_deep,45.955,20.4145,0.8066,0.9769,196.9525,196.9525,1.9242,0.0015,1.4372,/Volumes/SDCARD/storage/main/1999_08_16_y-46p-27r23,0.6418,0.1525,,6.4152,,6.4152,0.621,,0.0832,56.6001,44.1206,0.5894,0.1652,0.3848,-0.3683,0.0833,0.4977,164.643,1.8294,0.2469,0.8003,0.1997,0.4005,0.1084,2.2607,2.1221,0.5972,0.8447,0.9886,14.1644,23.2957,0.0117,0.0691,0.0289,14.933,3.3322,,,,,0.0912,43.7153,1.2427,0.4956,0.1583,489.606,37.5766,0.5761,[]
1999_08_16_y5p20r6.jpg,frontal,4.7729,19.588,5.5222,0.7192,93.3601,93.3601,1.3771,0.155,1.8041,/Volumes/SDCARD/storage/main/1999_08_16_y5p20r6,0.6367,0.1631,3.4771,8.5629,3.4771,8.5629,0.6841,0.0345,0.0366,60.3929,44.9623,0.5925,0.1973,0.3171,-0.38,0.0539,0.4737,178.5437,1.9838,0.2019,0.7804,0.2196,0.4451,0.1187,2.2109,1.8494,0.5672,0.8725,0.99,10.749,22.5317,0.0083,0.1048,0.0252,17.544,5.6102,0.0053,0.0754,0.004,1008.1639,0.1002,32.0438,1.2759,0.5574,0.142,398.9663,45.0085,0.8126,[]
1999_08_26_y35p-25r-15.jpg,left_threequarter_mid,-37.854,20.983,-1.0097,0.9933,324.4454,324.4454,0.5624,0.0564,1.1749,/Volumes/SDCARD/storage/main/1999_08_26_y35p-25r-15,0.6333,0.1638,4.9996,,4.9996,,0.6542,0.0711,,55.6473,44.0479,0.6138,0.1778,0.367,-0.3796,0.0825,0.4893,165.3559,1.8373,0.2324,0.754,0.246,0.418,0.1286,2.1529,2.3366,0.5977,0.9444,0.9883,9.4064,27.5739,0.0101,0.0793,0.0246,9.3889,4.7116,,,,,0.0672,18.721,1.156,0.5701,0.1324,528.4812,24.6819,0.6538,[]
1999_09_01_y-6p-7r-1.jpg,frontal,2.8269,9.2969,0.21,0.4664,37.3623,37.3623,0.6663,0.0545,1.5481,/Volumes/SDCARD/storage/main/1999_09_01_y-6p-7r-1,0.6443,0.1622,5.2331,3.8261,5.2331,3.8261,0.678,0.0573,0.0593,58.5723,43.4454,0.591,0.1915,0.3466,-0.3756,0.0703,0.469,170.8291,1.8981,0.2233,0.7883,0.2117,0.4488,0.1502,2.0688,2.0471,0.594,0.9178,0.9896,9.929,25.7412,0.0088,0.08,0.0295,11.4667,6.3803,0.0067,0.0326,0.0049,1197.0015,0.0754,16.7244,1.2156,0.6673,0.1619,454.7093,30.9339,0.868,[]
1999_09_01_y6p-21r-2.jpg,frontal,-6.8805,24.5374,-0.6824,0.9824,168.6218,168.6218,1.4657,0.2323,1.5296,/Volumes/SDCARD/storage/main/1999_09_01_y6p-21r-2,0.6361,,14.5296,2.6236,14.5296,2.6236,0.6946,0.0199,0.0261,,,,0.1881,0.321,-0.3981,,0.48,178.9471,1.9883,0.2042,0.785,0.215,,0.1118,2.2443,2.236,0.5752,0.8474,0.9868,14.3197,22.786,0.0116,0.0672,0.0283,14.6348,3.8097,0.0083,0.1044,0.0039,1510.5104,0.0515,36.8032,1.2643,0.5965,0.1558,525.7398,37.8555,0.8008,[]
1999_09_03_y-34p5r18.jpg,right_threequarter_mid,26.3492,-18.1805,-26.4271,0.4624,36.008,36.008,0.4708,0.1406,1.9381,/Volumes/SDCARD/storage/main/1999_09_03_y-34p5r18,0.6333,0.1465,,37.8888,,37.8888,0.6454,,0.0727,55.2163,42.6614,0.5833,0.1782,0.3465,-0.3517,0.0733,0.483,167.7495,1.8639,0.2195,0.7962,0.2038,0.4585,0.14,2.11,1.7783,0.5981,0.9263,0.9854,9.412,26.4463,0.0072,0.0496,0.0299,12.2527,3.644,,,,,0.0526,13.3342,1.2274,0.659,0.1589,365.364,30.9632,0.618,[]
