filename,pose_bucket,pose_yaw,pose_pitch,pose_roll,quality_overall,quality_sharpness,quality_blur,quality_jpeg_noise,expression_mouth_open_intensity,expression_smile_intensity,mesh_path,geo_cranial_face_index,geo_jaw_width_ratio,geo_canthal_tilt_3d_L,geo_canthal_tilt_3d_R,geo_canthal_tilt_L,geo_canthal_tilt_R,geo_interorbital_ratio,geo_orbit_depth_L_ratio,geo_orbit_depth_R_ratio,geo_gonial_angle_L,geo_gonial_angle_R,geo_mandibular_ramus_length,geo_nose_width_ratio,geo_nose_projection_ratio,geo_nasal_frontal_index,geo_chin_projection_ratio,geo_orbit_centroid_ratio,geo_glabella_nasion_projection_angle,geo_forehead_slope_index,geo_nasofacial_angle_ratio,geo_orbital_perimeter_symmetry,geo_orbital_asymmetry_index,geo_gnathion_midline_deviation_ratio,tex_lbp_uniformity,tex_lbp_entropy,tex_glcm_contrast,tex_glcm_energy,tex_glcm_homogeneity,tex_glcm_correlation,tex_gabor_mean,tex_gabor_std,tex_laplacian_energy,tex_spot_density,tex_specular_gloss,tex_skin_tone_std,tex_pigmentation_index,tex_wrinkle_forehead,tex_nasolabial_depth,tex_crow_feet_score,tex_nose_pore_density,tex_uv_spot_density,tex_uv_wrinkle_energy,tex_uv_texture_entropy,tex_uv_silicone_flatness,tex_uv_retouch_score,tex_quality_sharpness_score,tex_quality_noise_score,tex_quality_quality_index,tex_notes
calibration_y28p2r8.jpg,right_threequarter_mid,28.7488,2.4549,7.9897,0.9604,890.3664,890.3664,3.2991,0.2226,1.5849,/Volumes/SDCARD/storage/calibration/calibration_y28p2r8,0.6778,,,5.3788,,5.3788,0.6922,,0.0451,,,,0.1897,0.3153,-0.3774,,0.5123,178.056,1.9784,0.2137,0.8057,0.1943,,0.1075,2.2679,2.9056,0.579,0.8304,0.9825,15.8095,24.2664,0.0246,0.1251,0.0271,19.4422,4.288,,,,,0.0808,57.1614,1.3102,0.5025,0.1396,875.9285,48.9619,0.7838,[]
calibration_y29p2r8.jpg,right_threequarter_mid,29.2152,2.2314,7.9024,0.9684,612.1284,612.1284,2.6319,0.244,1.5538,/Volumes/SDCARD/storage/calibration/calibration_y29p2r8,0.674,,,4.9461,,4.9461,0.715,,0.046,,,,0.1912,0.3162,-0.3774,,0.5119,177.8628,1.9763,0.2131,0.8071,0.1929,,0.1114,2.2464,2.2178,0.5708,0.8474,0.9868,16.1302,25.3244,0.0169,0.1199,0.0291,19.7452,3.5317,,,,,0.0813,91.91,1.3149,0.3514,0.1146,571.4095,49.5677,0.7753,[]
calibration_y2p-13r-4.jpg,frontal,-2.4084,11.3839,3.4813,0.9719,147.6192,147.6192,1.4164,0.1494,1.477,/Volumes/SDCARD/storage/calibration/calibration_y2p-13r-4,0.6594,0.1653,11.2434,6.6048,11.2434,6.6048,0.71,0.0462,0.0557,60.3208,43.5041,0.5891,0.1809,0.3111,-0.3601,0.0626,0.5013,176.0843,1.9565,0.2051,0.7808,0.2192,0.4478,0.112,2.2398,2.2869,0.5713,0.8992,0.9874,11.9855,26.9238,0.01,0.0468,0.0288,19.1625,7.4517,0.0062,0.0398,0.0098,823.5481,0.056,22.0346,1.2868,0.5481,0.1349,492.4198,49.3903,0.8662,[]
calibration_y2p-8r-5.jpg,frontal,-1.8174,10.4436,5.0027,0.9667,664.5529,664.5529,2.777,0.104,1.9336,/Volumes/SDCARD/storage/calibration/calibration_y2p-8r-5,0.6632,0.1649,10.1346,4.6457,10.1346,4.6457,0.719,0.0352,0.0463,59.0365,42.4878,0.5789,0.1931,0.3185,-0.3715,0.0596,0.508,174.5921,1.9399,0.2112,0.7864,0.2136,0.4437,0.1135,2.237,1.9274,0.5739,0.8694,0.9888,10.9247,23.3072,0.0141,0.0741,0.0284,20.8927,7.5013,0.0088,0.1198,0.0069,581.1077,0.0641,76.2908,1.332,0.3673,0.1255,508.3368,54.0588,0.8705,[]
calibration_y2p17r5.jpg,frontal,2.4483,17.1778,5.2516,0.8068,112.0982,112.0982,1.3571,0.2176,1.3335,/Volumes/SDCARD/storage/calibration/calibration_y2p17r5,0.6333,0.1631,13.1948,3.0376,13.1948,3.0376,0.7479,0.0231,0.0308,59.6239,44.4671,0.5723,0.1936,0.314,-0.3757,0.0518,0.5248,177.3657,1.9707,0.1989,0.7998,0.2002,0.446,0.1222,2.191,1.1669,0.6114,0.9282,0.9931,6.4613,20.6533,0.0059,0.0894,0.0277,18.6295,4.5361,0.0053,0.048,0.0018,624.4558,0.1023,26.0778,1.3112,0.6035,0.1224,258.7681,47.2878,0.3475,[]
calibration_y2p2r6.jpg,frontal,2.3756,2.1303,5.8896,0.9827,177.4396,177.4396,1.4427,0.0306,1.8873,/Volumes/SDCARD/storage/calibration/calibration_y2p2r6,0.6603,0.1559,14.7528,8.6033,14.7528,8.6033,0.7149,0.024,0.0342,59.9216,44.3534,0.5837,0.196,0.302,-0.3583,0.0534,0.5043,177.6978,1.9744,0.1994,0.7983,0.2017,0.4652,0.1217,2.193,1.2416,0.5634,0.9028,0.9923,9.4107,21.2447,0.0057,0.0573,0.0261,21.2891,2.8704,0.004,0.0659,0.0017,479.9135,0.0544,35.8254,1.287,0.5328,0.1214,254.8705,53.4706,0.3527,[]
calibration_y2p7r-2.jpg,frontal,1.9958,7.7711,-1.8956,0.9602,688.4709,688.4709,3.3197,0.385,1.5561,/Volumes/SDCARD/storage/calibration/calibration_y2p7r-2,0.6411,,11.4978,5.8192,11.4978,5.8192,0.7082,0.0255,0.0394,,,,0.1942,0.3047,-0.3697,,0.4927,175.4012,1.9489,0.1953,0.7885,0.2115,,0.1064,2.2726,2.2677,0.5191,0.8414,0.9876,13.8432,26.367,0.0119,0.0259,0.0684,22.461,7.4369,0.0044,0.0973,0.0159,674.9676,0.0371,59.2808,1.3237,0.349,0.1114,516.4208,58.0037,0.8775,[]
calibration_y34p-1r3.jpg,right_threequarter_mid,34.0985,-1.0696,2.8316,0.9808,161.7148,161.7148,1.5962,0.4454,1.9666,/Volumes/SDCARD/storage/calibration/calibration_y34p-1r3,0.6825,,,0.0931,,0.0931,0.7096,,0.0344,,,,0.1759,0.3192,-0.3804,,0.5066,177.902,1.9767,0.2178,0.8218,0.1782,,0.1088,2.2583,1.1815,0.5792,0.9221,0.9917,5.6073,20.8688,0.0051,0.0779,0.027,10.2081,4.0555,,,,,0.0769,26.4767,1.1789,0.588,0.1086,249.6531,25.8991,0.2806,[]
calibration_y34p8r5.jpg,right_threequarter_mid,34.2122,8.5099,4.9442,0.8078,112.1706,112.1706,1.3051,0.4891,1.4079,/Volumes/SDCARD/storage/calibration/calibration_y34p8r5,0.6798,,,5.1089,,5.1089,0.6829,,0.0588,,,,0.1731,0.3246,-0.3599,,0.507,171.3696,1.9041,0.2207,0.8137,0.1863,,0.1173,2.206,1.3217,0.5731,0.9491,0.9905,5.1406,21.3725,0.0049,0.0663,0.0292,10.9073,2.371,,,,,0.0568,17.9142,1.2085,0.6096,0.1127,266.109,27.9709,0.3149,[]
calibration_y35p-9r1.jpg,left_threequarter_mid,-30.4131,10.3037,-7.1502,0.9611,645.1021,645.1021,3.2454,0.3633,1.7498,/Volumes/SDCARD/storage/calibration/calibration_y35p-9r1,0.6368,,10.0378,,10.0378,,0.6919,0.0212,,,,,0.183,0.3099,-0.3646,,0.5211,179.4637,1.994,0.1973,0.762,0.238,,0.1108,2.2551,2.1043,0.6101,0.8858,0.9859,11.237,26.6632,0.0123,0.0457,0.044,15.8609,6.9688,,,,,0.0497,45.2587,1.2834,0.411,0.1082,477.2562,41.1956,0.7493,[]
